smiles,O,next_O,o_1,m_1,p,m_2,o_2
CC(=O)NC(Cc1ccc(O)c(OS(C)(=O)=O)c1)C(=O)O,10,9,8,7,6,17,11
CC(=O)CCc1ccc(O)cc1,9,8,10,11,5,6,7
COc1cc(CO)ccc1O,10,9,8,7,4,3,2
CC=Cc1cc(OC)c2c(c1)C(C)C(c1ccc(O)c(OC)c1)O2,18,17,16,15,14,22,19
COc1ccc(-c2cc(C)ccc2O)cc1,13,12,11,10,8,7,6
COc1ccc(O)c(C)c1,6,5,4,3,2,9,7
CC(C)(C)c1ccc(O)c(C#N)c1,8,7,6,5,4,12,9
COC(=O)c1c(O)cc(C)cc1OC,6,5,7,8,10,11,4
COc1c(Br)cc(O)c(Br)c1Br,7,6,5,3,2,10,8
COc1cc(-c2nc3ccccc3s2)ccc1O,17,16,15,14,4,3,2
Cc1cc(C2CCCCC2)c(C)cc1O,14,13,12,10,3,2,1
CC(C)(C)c1ccc(O)c(Cl)c1,8,7,6,5,4,11,9
CC(=O)NC(Cc1ccc(O)c(Cl)c1)C(=O)O,10,9,8,7,6,13,11
Cc1cc(Cl)ccc1O,8,7,6,5,3,2,1
CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,16,15,14,13,12,20,17
Oc1ccc(Cl)cc1,0,1,7,6,4,3,2
COC(=O)C=Cc1cccc(O)c1,11,10,9,8,7,6,12
COc1cc(CCN)ccc1O,11,10,9,8,4,3,2
CCOC(=O)C=Cc1ccc(O)c(OC)c1,11,10,9,8,7,15,12
Cc1ccc(O)c(F)c1,5,4,3,2,1,8,6
O=C(NC(Cc1ccc(O)cc1)C(=O)O)OCc1ccccc1,9,8,10,11,5,6,7
CC(=O)OCCc1ccc(O)cc1,10,9,11,12,6,7,8
Cc1cc(O)c(C2(C)CCC3CC32C)cc1Br,4,3,2,1,15,14,5
OCCc1ccc(O)cc1,7,6,8,9,3,4,5
COc1cc(C(O)COc2ccccc2OC)ccc1O,20,19,18,17,4,3,2
COc1cc(C(C)(C)C)ccc1O,12,11,10,9,4,3,2
CC(C)(C)c1ccc(O)c(C=NO)c1,8,7,6,5,4,13,9
COc1cc(C(=O)O)ccc1O,11,10,9,8,4,3,2
COc1cc(Br)cc(O)c1C,8,7,6,4,3,2,9
CC(C)(C)c1ccc(O)c(C=O)c1,8,7,6,5,4,12,9
COCOc1c(O)cc(C)cc1C1(C)CCCC1(C)C,6,5,7,8,10,11,4
CCc1ccc(O)c(OC)c1,6,5,4,3,2,10,7
CC(C)(C)c1cc(Br)ccc1O,11,10,9,8,6,5,4
CCC(C)C(NC(=O)C(CO)NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(N)CCCCN)C(C)O)C(C)C)C(=O)O,28,27,29,30,24,25,26
CC1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(C(C)C)NC1=O,11,10,12,13,7,8,9
COC(=O)C=Cc1ccc(O)c(OC)c1,10,9,8,7,6,14,11
COc1cc(C(C)C)ccc1O,11,10,9,8,4,3,2
CCOc1cc(C=O)ccc1O,11,10,9,8,5,4,3
COC(=O)CCc1ccc(O)cc1,10,9,11,12,6,7,8
NC(Cc1ccc(O)cc1)C(=O)O,7,6,8,9,3,4,5
O=CNC(Cc1ccc(O)cc1)C(=O)O,9,8,10,11,5,6,7
Oc1ccc(Br)cc1Br,0,1,2,3,4,6,7
COc1cc(CC(C)C(C)Cc2ccc3c(c2)OCO3)ccc1O,23,22,21,20,4,3,2
NC(Cc1ccc(Oc2cc(CC(N)C(=O)O)ccc2O)cc1)C(=O)O,20,19,18,17,10,9,8
OCc1cc(O)c(OCc2ccccc2)c(OCc2ccccc2)c1,5,4,3,2,24,15,6
OCC(O)Cc1ccc(O)cc1,9,8,10,11,5,6,7
COc1cc(C=NNC(=O)c2cc(C)n[nH]2)ccc1O,19,18,17,16,4,3,2
CC=Cc1ccc(O)cc1,7,6,8,9,3,4,5
CCCCc1ccc(O)c(Br)c1,8,7,6,5,4,11,9
CCCCc1ccc(O)c(Cl)c1,8,7,6,5,4,11,9
COc1ccc2c(c1)C(=Cc1ccc(O)c(OC)c1)C(=O)N2,14,13,12,11,10,18,15
OCc1ccccc1O,8,7,6,5,4,3,2
CCCc1ccc(O)c(Cl)c1,7,6,5,4,3,10,8
COc1cc(C=NNc2nncc3ccccc23)ccc1O,21,20,19,18,4,3,2
CCCc1ccc(O)c(Br)c1,7,6,5,4,3,10,8
Oc1ccc(Br)cc1,0,1,7,6,4,3,2
COc1cc(C=NNC(=O)c2ccncc2)ccc1O,19,18,17,16,4,3,2
COc1cc(C=NNc2nc3ccccc3s2)ccc1O,20,19,18,17,4,3,2
COc1cc(CCCOC(C)=O)ccc1O,15,14,13,12,4,3,2
C=CCc1ccccc1O,9,8,7,6,5,4,3
COc1cc(CCCO)ccc1O,12,11,10,9,4,3,2
COc1cc(C=NNC(=O)OCc2ccccc2)ccc1O,21,20,19,18,4,3,2
CNC(=O)c1ccc(OC)c(O)c1,11,10,12,4,5,6,7
Cc1ccc(O)c(CO)c1,5,4,3,2,1,9,6
Oc1ccc(CC2CO2)cc1,0,1,10,9,4,3,2
C=CCc1ccc(O)c(C2C=C(C)CCC2C(C)C)c1,7,6,5,4,3,19,8
C=CC(O)c1ccc(O)cc1,8,7,9,10,4,5,6
O=C(O)c1ccc(O)cc1,7,6,8,9,3,4,5
CCCc1ccccc1O,9,8,7,6,5,4,3
C=CCc1ccc(O)c(CN(C)C)c1,7,6,5,4,3,13,8
C=CCc1ccc(O)c(CN(CCO)CCO)c1,7,6,5,4,3,17,8
C=CCc1ccc(O)c(CN(C)CCOCCO)c1,7,6,5,4,3,18,8
C=CCc1ccc(O)c(CN(C)CC(=O)O)c1,7,6,5,4,3,16,8
C=CCc1ccc(O)c(CN(C)CC(OC)OC)c1,7,6,5,4,3,18,8
CCCCCCc1ccc(O)cc1,10,9,11,12,6,7,8
COc1cc(C)c(Br)cc1O,10,9,8,6,4,3,2
C=CCc1cc(OC)c(O)cc1Br,9,8,10,11,3,4,5
CC=CCc1ccc(O)cc1,8,7,9,10,4,5,6
CCCOc1cc(CO)cc(O)c1OCCC,11,10,9,6,5,4,12
Oc1ccc(CC=Cc2ccccc2)cc1,0,1,15,14,4,3,2
COc1cc(C)c(C(C)=O)c(O)c1,11,10,12,2,3,4,6
CC(C)OC(=O)c1ccc(O)cc1,10,9,11,12,6,7,8
CCCOC(=O)c1ccc(O)cc1,10,9,11,12,6,7,8
CCCCOC(=O)c1ccc(O)cc1,11,10,12,13,7,8,9
CC(C)COC(=O)c1ccc(O)cc1,11,10,12,13,7,8,9
O=C(OCc1ccccc1)c1ccc(O)cc1,14,13,15,16,10,11,12
COc1cc(O)c(CCC(=O)c2ccccc2)c(OC)c1OC,5,4,3,2,20,17,6
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(N)=O,10,9,11,12,6,7,8
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C)C(=O)NC(C)C(N)=O,10,9,11,12,6,7,8
CC(O)C(O)c1cccc(O)c1,10,9,8,7,6,5,11
O=CC=Cc1ccc(O)cc1,8,7,9,10,4,5,6
C=CCc1cc(O)ccc1OC,6,5,7,8,9,3,4
CCCCCc1cc(C=O)ccc1O,13,12,11,10,7,6,5
Cc1cc(C=CC=O)ccc1O,11,10,9,8,3,2,1
C=CCc1ccc(O)c(Cl)c1,7,6,5,4,3,10,8
CCCCCCCc1cc(C=O)ccc1O,15,14,13,12,9,8,7
CC(C)CCc1cc(C=O)ccc1O,13,12,11,10,7,6,5
CCCc1cc(C=CC=O)ccc1O,13,12,11,10,5,4,3
CCCc1cc(OC)c(O)cc1Br,9,8,10,11,3,4,5
COC(=N)Cc1ccc(O)cc1,9,8,10,11,5,6,7
COc1cc(CC(C)Br)ccc1O,12,11,10,9,4,3,2
C=CCc1cc(C=CC=O)ccc1O,13,12,11,10,5,4,3
CCCCCc1cc(C=CC=O)ccc1O,15,14,13,12,7,6,5
CC(C)=CCCC(C)c1ccc(C)cc1O,15,14,13,11,10,9,8
CC(C)CCc1cc(C=CC=O)ccc1O,15,14,13,12,7,6,5
N#CC(Cc1ccc(O)cc1)NC=O,8,7,9,10,4,5,6
O=C(Cc1ccc(O)cc1)OCc1ccccc1,7,6,8,9,3,4,5
N=C(Cc1ccc(O)cc1)NCc1ccccc1,7,6,8,9,3,4,5
CC(=O)NC(Cc1ccc(O)cc1)C(N)=O,10,9,11,12,6,7,8
COc1cc(CNC(C)COc2c(C)cccc2C)ccc1O,22,21,20,19,4,3,2
COc1cc(CCC(CC(=O)CCc2ccccc2)OC)ccc1O,24,23,22,21,4,3,2
Oc1ccc(N=Nc2ccc3nn[nH]c3c2)cc1,0,1,17,16,4,3,2
