smiles,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2
O=C(OCc1ccccc1)c1ccc(O)cc1,-0.753713,0.434851,-0.262154,-0.154168,-0.189781,-0.14987,-0.302042
CCOC(=O)C(Cc1ccc(O)cc1)NC(C)=O,-0.763918,0.406382,-0.285961,-0.18983,-0.001548,-0.21008,-0.24465
Oc1cc(Br)cc(Br)c1,-0.752238,0.42913,-0.275331,0.009127,-0.201621,0.006879,-0.232056
Oc1ccc(Br)cc1Br,-0.758536,0.426743,-0.240313,-0.167437,-0.033416,-0.159983,-0.079149
O=C1NC(=O)C(c2ccccc2)(c2ccc(O)cc2)N1,-0.76174,0.417018,-0.251957,-0.172018,-0.02279,-0.185714,-0.288787
COc1cc(C=NNC(=O)c2ccncc2)ccc1O,-0.771569,0.380139,-0.24802,-0.215674,-0.040718,-0.25662,0.375127
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,-0.763546,0.398401,-0.271705,-0.231953,0.395025,-0.251991,-0.233572
COc1cc(C=NNC(=O)c2cc(C)[nH]n2)ccc1O,-0.774248,0.375607,-0.246743,-0.220158,-0.036902,-0.266433,0.378388
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,-0.784698,0.365477,-0.237896,-0.237553,-0.001434,-0.272191,0.382446
COc1cc(CC(C)C(C)Cc2ccc3c(c2)OCO3)ccc1O,-0.780425,0.358193,-0.236591,-0.236976,0.029466,-0.27836,0.3759
COc1cc(CC2C(=O)OCC2Cc2ccc(OC)c(OC)c2)ccc1O,-0.786406,0.358112,-0.237226,-0.236762,0.040831,-0.27133,0.393196
CCOCc1ccc(O)c(OC)c1,-0.777908,0.364776,-0.238541,-0.229187,-0.033253,-0.270492,0.37575
OC(CCCCC1SCC2N=C(O)NC21)=NCCc1ccc(O)cc1,-0.778641,0.410627,-0.331425,-0.209482,0.012127,-0.211911,-0.244953
CNCC(O)c1cccc(O)c1,-0.765684,0.425825,-0.252217,-0.181087,-0.248919,-0.000299,-0.30461
COC(=O)c1cc(C(C)(C)C)ccc1O,-0.789839,0.450243,-0.263961,-0.191136,0.009742,-0.178857,-0.248225
COC(=O)C1C(OC(=O)c2ccccc2O)CC2CCC1N2C,-0.787554,0.456904,-0.266622,-0.157351,-0.247199,-0.146984,-0.258135
COC(=O)C1C(OC(=O)c2cccc(O)c2)CC2CCC1N2C,-0.763512,0.41199,-0.2255,-0.199518,-0.196802,-0.140419,-0.269975
O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl,-0.756724,0.422875,-0.265253,-0.140387,0.328809,-0.163639,-0.223718
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,-0.765803,0.445974,-0.275707,-0.167961,-0.288929,0.380467,-0.392355
