smiles,HOMO
Cc1ccc(N=Nc2ccc(O)cc2)cc1,-7.13618965
CC(C)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,-7.84912833
Oc1ccccc1C1CCCCC1O,-7.206395062
COCOc1cc(O)c(C(C)=O)c(OCOC)c1,-7.729942398
CCCCCCCC(=O)c1ccc(O)c(C(=O)O)c1,-8.098656868
CC(O)c1ccc(O)cc1,-7.544904878
N#CCc1cccc(O)c1,-7.96069507
CCC1CCC(c2ccc(O)cc2)CC1,-7.327213678
CC1(C)CC(=O)C2=C(C1)N=C(S)NC2c1cccc(O)c1,-7.431977568
CC1CNCCC1(C)c1cccc(O)c1,-7.475515808
O=S(=O)(c1ccccc1)c1ccc(O)c(S(=O)(=O)c2ccccc2)c1,-8.528869102
Cc1cc(O)c(Br)cc1C,-7.41238536
Oc1cccc(F)c1Br,-8.091037676
CC(=O)c1ccc(O)c(N)c1,-7.045575688
Cc1c(Br)cc(O)cc1Br,-7.96341621
Cc1ccc(O)cc1N,-6.790332756
CC(C)(C)OC(O)=NC(Cc1ccc(O)cc1)C(=O)OCc1ccccc1,-7.22734784
CCCCCC1CCC(c2ccc(O)cc2)CC1,-7.326397336
CC(=O)c1ccc(O)c(Br)c1,-8.136480714
CCOC(=O)Cc1cccc(O)c1,-7.627899648
CCCCC1CCC(c2ccc(O)cc2)CC1,-7.326397336
CCCC1CCC(c2ccc(O)cc2)CC1,-7.327213678
COc1cc(O)c(Br)cc1OC,-6.932920492
COC(=O)c1cc(O)ccc1N,-6.643391196
Oc1ccc(F)c(Br)c1,-7.9049117
CCCCCCCCOC(=O)c1ccc(O)cc1,-7.902462674
CC(=O)c1cc(N=C(C)O)ccc1O,-7.188435538
CC(O)c1cccc(O)c1,-7.638512094
N#Cc1ccc(O)c(Cl)c1,-8.422472528
O=Cc1c(O)cccc1F,-8.165596912
Oc1ccc(C(F)(F)F)cc1Br,-8.407778372
N#Cc1cc(O)cc(C#N)c1,-8.9525506
N#CC(=Cc1cccc(O)c1)C(=O)O,-8.178930498
COC(=O)c1ccc(Br)c(O)c1,-8.095663614
Cc1ccc(NCCO)cc1O,-6.811557648
Oc1ccc(C2CCC(O)CC2)cc1,-7.467896616
Nc1ccc(F)cc1O,-6.843939214
Oc1cccc(OC(F)(F)F)c1,-8.012940958
CCCCCCCCc1ccc(OC(=O)c2ccccc2O)cc1,-7.7960661
